show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s2325,Movie,#FriendButMarried 2,Rako Prijanto,Indonesia,2020-06-28,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies",2020,6,Romantic Movies
s2326,Movie,Skin,Daniel Effiong,Nigeria,2020-06-28,2019,TV-MA,76 min,"Documentaries, International Movies",2020,6,Documentaries
s2326,Movie,Skin,Daniel Effiong,Nigeria,2020-06-28,2019,TV-MA,76 min,"Documentaries, International Movies",2020,6,International Movies
s2329,Movie,Ride Like a Girl,Rachel Griffiths,Australia,2020-06-27,2020,PG,99 min,"Children & Family Movies, Dramas, Independent Movies",2020,6,Children & Family Movies
s2329,Movie,Ride Like a Girl,Rachel Griffiths,Australia,2020-06-27,2020,PG,99 min,"Children & Family Movies, Dramas, Independent Movies",2020,6,Dramas
s2329,Movie,Ride Like a Girl,Rachel Griffiths,Australia,2020-06-27,2020,PG,99 min,"Children & Family Movies, Dramas, Independent Movies",2020,6,Independent Movies
s2331,Movie,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,United States,2020-06-26,2020,PG-13,124 min,"Comedies, Music & Musicals, Romantic Movies",2020,6,Comedies
s2331,Movie,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,United States,2020-06-26,2020,PG-13,124 min,"Comedies, Music & Musicals, Romantic Movies",2020,6,Music & Musicals
s2331,Movie,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,United States,2020-06-26,2020,PG-13,124 min,"Comedies, Music & Musicals, Romantic Movies",2020,6,Romantic Movies
s2333,Movie,Kasanova,Oluseyi Asurf,Nigeria,2020-06-26,2019,TV-14,117 min,"Comedies, International Movies, Romantic Movies",2020,6,Comedies
s2333,Movie,Kasanova,Oluseyi Asurf,Nigeria,2020-06-26,2019,TV-14,117 min,"Comedies, International Movies, Romantic Movies",2020,6,International Movies
s2333,Movie,Kasanova,Oluseyi Asurf,Nigeria,2020-06-26,2019,TV-14,117 min,"Comedies, International Movies, Romantic Movies",2020,6,Romantic Movies
s2334,Movie,Ordinary People,Eduardo Roy Jr.,Philippines,2020-06-26,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",2020,6,Dramas
s2334,Movie,Ordinary People,Eduardo Roy Jr.,Philippines,2020-06-26,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",2020,6,Independent Movies
s2334,Movie,Ordinary People,Eduardo Roy Jr.,Philippines,2020-06-26,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",2020,6,International Movies
s2337,Movie,Thackeray (Hindi),Abhijit Panse,India,2020-06-26,2019,TV-14,135 min,"Dramas, International Movies",2020,6,Dramas
s2337,Movie,Thackeray (Hindi),Abhijit Panse,India,2020-06-26,2019,TV-14,135 min,"Dramas, International Movies",2020,6,International Movies
s2339,Movie,Krishna and His Leela,Ravikanth Perepu,India,2020-06-25,2020,TV-MA,126 min,"International Movies, Romantic Movies",2020,6,International Movies
s2339,Movie,Krishna and His Leela,Ravikanth Perepu,India,2020-06-25,2020,TV-MA,126 min,"International Movies, Romantic Movies",2020,6,Romantic Movies
s2340,Movie,Prem Ratan Dhan Payo,Sooraj R. Barjatya,India,2020-06-25,2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",2020,6,Action & Adventure
s2340,Movie,Prem Ratan Dhan Payo,Sooraj R. Barjatya,India,2020-06-25,2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",2020,6,Dramas
s2340,Movie,Prem Ratan Dhan Payo,Sooraj R. Barjatya,India,2020-06-25,2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",2020,6,International Movies
s2341,Movie,Vivah,Sooraj R. Barjatya,India,2020-06-25,2006,TV-14,166 min,"Dramas, International Movies, Romantic Movies",2020,6,Dramas
s2341,Movie,Vivah,Sooraj R. Barjatya,India,2020-06-25,2006,TV-14,166 min,"Dramas, International Movies, Romantic Movies",2020,6,International Movies
s2341,Movie,Vivah,Sooraj R. Barjatya,India,2020-06-25,2006,TV-14,166 min,"Dramas, International Movies, Romantic Movies",2020,6,Romantic Movies
s2342,Movie,Athlete A,"Bonni Cohen, Jon Shenk",United States,2020-06-24,2020,PG-13,104 min,"Documentaries, Sports Movies",2020,6,Documentaries
s2342,Movie,Athlete A,"Bonni Cohen, Jon Shenk",United States,2020-06-24,2020,PG-13,104 min,"Documentaries, Sports Movies",2020,6,Sports Movies
s2343,Movie,Bulbbul,Anvita Dutt,India,2020-06-24,2020,TV-MA,94 min,"Horror Movies, International Movies",2020,6,Horror Movies
s2343,Movie,Bulbbul,Anvita Dutt,India,2020-06-24,2020,TV-MA,94 min,"Horror Movies, International Movies",2020,6,International Movies
s2345,Movie,Nobody Knows I'm Here,Gaspar Antillo,Chile,2020-06-24,2020,TV-MA,92 min,"Dramas, Independent Movies, International Movies",2020,6,Dramas
s2345,Movie,Nobody Knows I'm Here,Gaspar Antillo,Chile,2020-06-24,2020,TV-MA,92 min,"Dramas, Independent Movies, International Movies",2020,6,Independent Movies
s2345,Movie,Nobody Knows I'm Here,Gaspar Antillo,Chile,2020-06-24,2020,TV-MA,92 min,"Dramas, Independent Movies, International Movies",2020,6,International Movies
s2346,Movie,Eric Andre: Legalize Everything,Eric Notarnicola,United States,2020-06-23,2020,TV-MA,52 min,Stand-Up Comedy,2020,6,Stand-Up Comedy
s2348,Movie,Kappela,Musthafa,India,2020-06-22,2020,TV-14,112 min,"Dramas, Independent Movies, International Movies",2020,6,Dramas
s2348,Movie,Kappela,Musthafa,India,2020-06-22,2020,TV-14,112 min,"Dramas, Independent Movies, International Movies",2020,6,Independent Movies
s2348,Movie,Kappela,Musthafa,India,2020-06-22,2020,TV-14,112 min,"Dramas, Independent Movies, International Movies",2020,6,International Movies
s2349,Movie,The Royal Hibiscus Hotel,Ishaya Bako,Nigeria,2020-06-22,2017,TV-PG,90 min,"Comedies, International Movies, Romantic Movies",2020,6,Comedies
s2349,Movie,The Royal Hibiscus Hotel,Ishaya Bako,Nigeria,2020-06-22,2017,TV-PG,90 min,"Comedies, International Movies, Romantic Movies",2020,6,International Movies
s2349,Movie,The Royal Hibiscus Hotel,Ishaya Bako,Nigeria,2020-06-22,2017,TV-PG,90 min,"Comedies, International Movies, Romantic Movies",2020,6,Romantic Movies
s2351,Movie,Woodshock,"Kate Mulleavy, Laura Mulleavy",United States,2020-06-21,2017,R,101 min,"Dramas, Independent Movies, Thrillers",2020,6,Dramas
s2351,Movie,Woodshock,"Kate Mulleavy, Laura Mulleavy",United States,2020-06-21,2017,R,101 min,"Dramas, Independent Movies, Thrillers",2020,6,Independent Movies
s2351,Movie,Woodshock,"Kate Mulleavy, Laura Mulleavy",United States,2020-06-21,2017,R,101 min,"Dramas, Independent Movies, Thrillers",2020,6,Thrillers
s2352,Movie,Elevator Baby,Akhigbe Ilozobhie,Nigeria,2020-06-20,2019,TV-MA,84 min,"Dramas, International Movies",2020,6,Dramas
s2352,Movie,Elevator Baby,Akhigbe Ilozobhie,Nigeria,2020-06-20,2019,TV-MA,84 min,"Dramas, International Movies",2020,6,International Movies
s2354,Movie,Chaman Bahaar,Apurva Dhar Badgaiyann,India,2020-06-19,2020,TV-MA,112 min,"Comedies, Dramas, International Movies",2020,6,Comedies
s2354,Movie,Chaman Bahaar,Apurva Dhar Badgaiyann,India,2020-06-19,2020,TV-MA,112 min,"Comedies, Dramas, International Movies",2020,6,Dramas
s2354,Movie,Chaman Bahaar,Apurva Dhar Badgaiyann,India,2020-06-19,2020,TV-MA,112 min,"Comedies, Dramas, International Movies",2020,6,International Movies
s2355,Movie,Destiny,Youssef Chahine,Egypt,2020-06-19,1997,TV-14,136 min,"Dramas, International Movies",2020,6,Dramas
s2355,Movie,Destiny,Youssef Chahine,Egypt,2020-06-19,1997,TV-14,136 min,"Dramas, International Movies",2020,6,International Movies
s2357,Movie,Feel the Beat,Elissa Down,United States,2020-06-19,2020,TV-G,110 min,"Children & Family Movies, Comedies, Dramas",2020,6,Children & Family Movies
s2357,Movie,Feel the Beat,Elissa Down,United States,2020-06-19,2020,TV-G,110 min,"Children & Family Movies, Comedies, Dramas",2020,6,Comedies
